GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
salon,com.cristiane.salon.models.cashflow.dto,CashFlowRequest,0,21,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.cashflow.dto,CashFlowResponse,0,44,0,2,0,8,0,3,0,2
salon,com.cristiane.salon.integrations.payment.dto,MercadoPagoNotification.Data,0,6,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.integrations.payment.dto,MercadoPagoNotification,0,12,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.report.controller,ReportController,0,21,0,0,0,3,0,3,0,3
salon,com.cristiane.salon.models.product.dto,ProductRequest,0,15,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.product.dto,ProductResponse,0,32,0,0,0,7,0,2,0,2
salon,com.cristiane.salon.models.product.service,ProductService,8,168,4,12,0,29,4,15,0,11
salon,com.cristiane.salon.models.user.service,AuthService,1,268,0,10,0,62,0,11,0,6
salon,com.cristiane.salon.models.user.service,RoleService,16,139,2,0,3,26,2,10,1,10
salon,com.cristiane.salon.models.user.service,UserService,0,624,3,65,0,135,3,55,0,24
salon,com.cristiane.salon.integrations.email.service,EmailService,85,363,7,13,21,83,5,11,1,5
salon,com.cristiane.salon.models.user.specification,UserSpecifications,0,263,0,38,0,46,0,24,0,5
salon,com.cristiane.salon.models.appointment.controller,AppointmentController,7,58,0,0,1,9,1,9,1,9
salon,com.cristiane.salon.models.ping.controller,PingController,0,19,0,0,0,5,0,3,0,3
salon,com.cristiane.salon.models.report.service,ReportService,40,770,34,80,2,139,33,45,0,21
salon,com.cristiane.salon.models.featureflag.controller,FeatureFlagController,0,18,0,0,0,4,0,3,0,3
salon,com.cristiane.salon.models.employee.dto,EmployeeResponse,0,55,0,0,0,11,0,2,0,2
salon,com.cristiane.salon.models.employee.dto,EmployeeRequest,0,21,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.employee.dto,EmployeeBookingResponse,0,29,0,0,0,6,0,2,0,2
salon,com.cristiane.salon.models.service.controller,SalonServiceController,0,40,0,0,0,7,0,6,0,6
salon,com.cristiane.salon.models.audit.controller,AuditController,0,94,0,0,0,14,0,5,0,5
salon,com.cristiane.salon.models.employee.controller,EmployeeController,6,32,0,0,1,6,1,5,1,5
